row,genes,reactions
142,b4086;b4087;b4088,rxn05185;rxn05160
143,b0657;b1677,rxn08120;rxn08119
144,b3012,rxn01832;rxn08345
145,b3001,rxn01832
146,b1781,rxn01832
147,b0207,rxn01832;rxn08345
148,b3945,rxn08122;rxn00762;rxn01831
149,b3091,rxn01122
150,b3416,rxn08127;rxn08129;rxn08128;rxn08126
151,b3223,rxn01506
152,b3222,rxn01951
153,b0774,rxn02312
154,b3833,rxn08130;rxn09039
155,b3994,rxn08131
156,b1982,rxn00131
157,b2523,rxn00650;rxn08133
158,b4260,rxn00650;rxn08133
159,b0932,rxn00650;rxn08133
160,b0237,rxn00650;rxn08775;rxn08133
161,b1640,rxn08136
162,b1263,rxn00791
163,b1263;b1264,rxn00727
164,b0776,rxn02297
165,b0049,rxn08667;rxn08137;rxn00095
166,b0414,rxn02474;rxn02475
167,b0062,rxn01292
168,b0151;b0152;b0153,rxn08143;rxn08483;rxn05558;rxn08245;rxn05188
169,b1900;b1901;b4460,rxn05173
170,b2841,rxn05500
171,b1528,rxn08907;rxn08779;rxn08141
172,b4115,rxn08152
173,b4117,rxn00405
174,b2938,rxn00405
175,b1605,rxn08153
176,b3960,rxn00802
177,b3172,rxn01434
178,b1876,rxn06432
179,b2306;b2307;b2308;b2310,rxn05154;rxn05151;rxn05156
180,b0860;b0861;b0862;b0863;b0864,rxn05154
181,b2923,rxn08154;rxn05305
182,b3433,rxn01643
183,b4192,rxn07492
184,b2415;b2416;b4193;b4194;b4195,rxn08158
185,b0828,rxn00342
186,b1767,rxn00342
187,b2957,rxn00342;rxn00189
188,b0674,rxn00416
189,b3744,rxn00340
190,b0930,rxn06434
191,b1453,rxn05508
192,b3502,rxn08163
193,b0131,rxn00346
194,b4244;b4245,rxn01018
195,b4024,rxn00337
196,b0002,rxn01302;rxn00337
197,b3940,rxn01302;rxn00337
198,b2574,rxn08168;rxn08167;rxn08166;rxn00338
199,b4139,rxn00347
200,b0928,rxn00260;rxn00493;rxn00527
201,b1866,rxn11115
202,b0652;b0653;b0654;b0655,rxn05146;rxn05152
203,b3528,rxn08169;rxn08865;rxn09269;rxn08542;rxn08863;rxn09049
204,b4138,rxn09273;rxn08543;rxn10155;rxn08866;rxn10157
205,b4123,rxn09273;rxn08543;rxn10155;rxn08866;rxn10157
206,b4077,rxn05217;rxn05297
207,b1064;b3503,rxn08171
208,b1747,rxn00601
209,b1539,rxn04137;rxn08371;rxn08172
210,b2019,rxn00789
211,b3731;b3732;b3733;b3734;b3735;b3736;b3737;b3738,rxn00062
212,b0312,rxn01868;rxn01867
213,b3551,rxn08179;rxn08178
214,b0775,rxn08180
215,b0365;b0366;b0367,rxn05172;rxn05594;rxn05512
216,b0933;b0934;b0936,rxn05552;rxn05656;rxn05621;rxn05512;rxn05594
217,b1216,rxn05596;rxn05209;rxn05514
218,b4132,rxn08187
219,b1732,rxn00006
220,b3942,rxn00006
221,b3196,rxn08188
222,b1270,rxn08194;rxn05029
223,b0521,rxn00114
224,b0323,rxn00114
225,b2874,rxn00114
226,b0032;b0033,rxn00414
227,b3469,rxn08989;rxn09388;rxn05528;rxn05516;rxn08239;rxn08715
228,b0752,rxn09389;rxn08946;rxn08240;rxn08990;rxn08196
229,b3915,rxn09389;rxn08946;rxn08240;rxn08990;rxn08474;rxn08716;rxn08196
230,b3040,rxn12420;rxn08947;rxn08197;rxn09390;rxn08241;rxn05212
