,fluxes
rxn02988_c0,-0.0012060302192187233
rxn04792_c0,-2.139148004515283
rxn01021_c0,0.0
rxn00165_c0,0.0
rxn10228_c0,0.0
rxn01117_c0,-0.01612357047014204
rxn00539_c0,0.0
rxn08137_c0,0.0
rxn00001_c0,0.0
rxn05369_c0,0.0
rxn01322_c0,0.0
rxn09685_c0,0.0
rxn01331_c0,0.0006030151096095369
rxn08895_c0,0.0
rxn11268_c0,0.0
rxn00710_c0,0.045080184653516715
rxn01114_c0,0.0
rxn02305_c0,0.0006030151096095282
rxn00470_c0,0.0012060302192190737
rxn05687_c0,0.0
rxn08817_c0,0.0
rxn00910_c0,-0.03349337911308705
rxn11944_c0,0.0
rxn01129_c0,-0.05233149797709706
rxn08296_c0,0.0
rxn00717_c0,0.0
rxn08710_c0,0.005374523490047347
rxn05647_c0,0.0
rxn01297_c0,0.0
rxn01962_c0,0.0
rxn10254_c0,0.0
rxn05300_c0,0.0
rxn05459_c0,0.05354254702333001
rxn01682_c0,0.0
rxn08796_c0,0.0
rxn08941_c0,0.005374523490047347
rxn03181_c0,0.005374523490047347
rxn08254_c0,0.0
rxn09360_c0,0.0
rxn01152_c0,0.0
rxn02331_c0,-0.01612357047014204
rxn12846_c0,0.0
rxn00337_c0,0.1802501829173288
rxn05221_c0,0.0
rxn08308_c0,0.0
rxn00208_c0,0.0
rxn08823_c0,0.0
rxn02552_c0,0.0
rxn05434_c0,0.0
rxn00140_c0,0.0
rxn05346_c0,0.0857896879636141
rxn00452_c0,-0.004221105767266694
rxn03248_c0,0.0
rxn08127_c0,0.0
rxn05386_c0,0.0
rxn05516_c0,0.0
rxn05733_c0,0.0
rxn00416_c0,0.0
rxn09206_c0,0.0
rxn08017_c0,0.0
rxn10147_c0,0.0
rxn09209_c0,0.0
rxn10148_c0,0.0
rxn12512_c0,0.0012060302192185013
rxn08669_c0,0.0
rxn00902_c0,-0.08066725163179102
rxn07474_c0,0.0
rxn07951_c0,0.0
rxn06672_c0,0.0
rxn00649_c0,0.04744442665689778
rxn01739_c0,0.07350116529445119
rxn02400_c0,0.0
rxn01268_c0,0.0
rxn00361_c0,0.0
rxn02679_c0,0.0
rxn01974_c0,0.06671225575099389
rxn00242_c0,0.0
rxn12641_c0,0.0
rxn05316_c0,0.0
rxn05185_c0,0.0
rxn08471_c0,0.0
rxn03887_c0,0.0
rxn08201_c0,0.0
rxn05469_c0,0.0
rxn00060_c0,0.0012060302192190737
rxn05350_c0,0.0857896879636141
rxn07965_c0,0.0
rxn09198_c0,0.0
rxn08838_c0,0.0
rxn05064_c0,0.0
rxn01102_c0,0.0
rxn05569_c0,0.0
rxn00100_c0,0.0012060302192185013
rxn03482_c0,0.0
rxn02842_c0,0.0
rxn00514_c0,0.0
rxn00789_c0,-0.01703294281193212
rxn02374_c0,0.0
rxn08583_c0,0.005374523490047347
rxn05390_c0,0.0
rxn09023_c0,0.0
rxn05560_c0,0.0
rxn05437_c0,0.0
rxn05158_c0,0.0
rxn00837_c0,0.0
rxn08976_c0,0.0
rxn09264_c0,0.0
rxn00881_c0,0.0
rxn05298_c0,0.0
rxn10157_c0,0.0
rxn06578_c0,0.0
rxn09265_c0,0.0
rxn00292_c0,0.0
rxn08336_c0,0.045080184653516715
rxn03043_c0,0.0
rxn02264_c0,0.0012060302192190737
rxn00212_c0,0.0
rxn10116_c0,0.0
rxn05198_c0,0.0
rxn09202_c0,0.006692818377916252
rxn01451_c0,0.0
rxn03903_c0,0.0
rxn00097_c0,0.38538568545481633
rxn05514_c0,-0.0006030151096095369
rxn02212_c0,0.07350116529445119
rxn00191_c0,-0.10808232351658459
rxn00695_c0,0.0
rxn05324_c0,-0.0857896879636141
rxn10481_c0,0.0006030151096095369
rxn03535_c0,0.0
rxn00692_c0,-0.1913213449818209
rxn01492_c0,0.0
rxn00802_c0,0.05301264223488997
rxn08440_c0,0.0
rxn02160_c0,0.01703294281193212
rxn08802_c0,0.0
rxn00926_c0,0.0
rxn08205_c0,0.0
rxn10230_c0,0.0
rxn08118_c0,0.0
rxn00913_c0,4.837697393523343
rxn01997_c0,0.005374523490047347
rxn08521_c0,0.0
rxn08809_c0,0.0
rxn00460_c0,0.0
rxn03958_c0,-0.0735921210211497
rxn00131_c0,0.0
rxn05578_c0,0.0
rxn08171_c0,0.0
rxn03264_c0,0.0
rxn01362_c0,-0.045080184653516715
rxn05329_c0,0.0857896879636141
rxn03174_c0,0.0
rxn03918_c0,0.02149809396018939
rxn05161_c0,0.0
rxn10167_c0,0.0
rxn03951_c0,0.0
rxn00264_c0,0.0
rxn05200_c0,0.0
rxn00340_c0,0.043156501169558444
rxn10060_c0,0.0
rxn02933_c0,0.0
rxn00727_c0,0.0
rxn10307_c0,0.0
rxn05500_c0,0.0
rxn05617_c0,0.0
rxn12638_c0,0.0
rxn01354_c0,0.0
rxn05127_c0,0.0
rxn09105_c0,0.0
rxn01445_c0,0.0
rxn05248_c0,0.0
rxn00612_c0,0.0
rxn08766_c0,0.0857896879636141
rxn01619_c0,0.0
rxn05539_c0,0.0
rxn08045_c0,0.0
rxn08841_c0,0.0
rxn05461_c0,0.05354254702333001
rxn02159_c0,0.01703294281193212
rxn01111_c0,0.0
rxn05571_c0,0.0
rxn10222_c0,0.0
rxn10263_c0,0.0
rxn02791_c0,0.0
rxn05466_c0,1.8445295359560707
rxn08814_c0,0.0
rxn00917_c0,0.03621337526774392
rxn08078_c0,0.0
rxn08845_c0,0.0
rxn05680_c0,0.0
rxn07981_c0,0.0
rxn01292_c0,0.0
rxn00300_c0,0.0018090453288286124
rxn08792_c0,0.0
rxn10131_c0,0.0
rxn05174_c0,0.0
rxn08799_c0,0.0
rxn05234_c0,0.0
rxn05585_c0,0.0
rxn08518_c0,0.0
rxn05335_c0,0.05891707051337736
rxn03419_c0,0.0
rxn08551_c0,0.0
rxn10256_c0,0.0
rxn08708_c0,0.005374523490047347
rxn00679_c0,0.0
rxn01516_c0,0.0
rxn00758_c0,0.0
rxn02103_c0,0.0
rxn00672_c0,0.0
rxn10314_c0,0.0
rxn09111_c0,0.0
rxn05607_c0,0.0
rxn05595_c0,0.0006030151096095369
rxn05348_c0,0.0857896879636141
rxn10181_c0,0.0
rxn04056_c0,0.0
rxn05435_c0,0.0
rxn03245_c0,0.0
rxn11946_c0,0.0006030151096095369
rxn00907_c0,0.1532343668325763
rxn05458_c0,0.0
rxn08300_c0,0.0
rxn02404_c0,0.01612357047014204
rxn01644_c0,0.0
rxn08297_c0,0.0
rxn02911_c0,0.0
rxn01280_c0,0.0
rxn05450_c0,0.0
rxn05039_c0,0.0018090453288286124
rxn12847_c0,0.0
rxn05443_c0,0.0
rxn09114_c0,0.0
rxn09188_c0,0.0
rxn09180_c0,0.0006030151096095369
rxn08822_c0,-0.026771273511665007
rxn10208_c0,0.0
rxn01620_c0,0.0
rxn05345_c0,0.08041516447356675
rxn01522_c0,0.0
rxn03891_c0,0.0
rxn01465_c0,-0.045080184653516715
rxn03052_c0,0.0
rxn10204_c0,0.0
rxn01833_c0,0.0
rxn01301_c0,-0.11293491205672536
rxn01643_c0,-0.1802501829173288
rxn04457_c0,0.0
rxn04598_c0,0.0
rxn02449_c0,0.0
rxn08844_c0,0.0
rxn00707_c0,0.0
rxn00369_c0,0.0
rxn06937_c0,0.00964824175375259
rxn01637_c0,-0.05421867245410904
rxn05564_c0,0.0
rxn00566_c0,0.0
rxn00708_c0,0.0
rxn00289_c0,0.0
rxn01269_c0,0.026535192087326322
rxn05563_c0,0.0
rxn00830_c0,-0.06640855220227375
rxn05219_c0,0.0
rxn09225_c0,0.005374523490047347
rxn02676_c0,0.0
rxn03406_c0,0.0
rxn00029_c0,0.004824120876876295
rxn06673_c0,0.0
rxn09128_c0,-0.026771273511665007
rxn12646_c0,0.0
rxn03869_c0,0.0
rxn05256_c0,0.04804744176650731
rxn05448_c0,0.0
rxn05446_c0,0.0
rxn02175_c0,0.0012060302192185013
rxn00245_c0,0.0
rxn05317_c0,0.0
rxn08136_c0,0.0
rxn02835_c0,0.01703294281193212
rxn02774_c0,0.0006030151096095369
rxn01675_c0,0.005374523490047347
rxn08839_c0,0.0
rxn03536_c0,0.0006030151096095369
rxn01575_c0,-0.05196004464538855
rxn05150_c0,0.0006030151096095369
rxn05398_c0,0.0
rxn08203_c0,0.0
rxn01868_c0,0.0
rxn09562_c0,0.0
rxn07964_c0,0.0
rxn00555_c0,0.022101109069798924
rxn03435_c0,-0.05196004464538855
rxn03080_c0,0.0036180906576572247
rxn10237_c0,0.0
rxn01044_c0,0.0
rxn00143_c0,0.0
rxn07845_c0,0.0
rxn12644_c0,0.0
rxn05365_c0,0.0
rxn00737_c0,0.05196004464538855
rxn05292_c0,0.0
rxn08843_c0,0.0
rxn01256_c0,0.059739861501598476
rxn00213_c0,0.0
rxn05199_c0,0.0
rxn10162_c0,0.0
rxn01629_c0,-0.00964824175375259
rxn05164_c0,0.0
rxn13784_c0,0.2148898459834189
rxn08016_c0,0.0
rxn01740_c0,0.0
rxn08022_c0,0.0
rxn05327_c0,-0.0857896879636141
rxn05205_c0,0.0
rxn02762_c0,0.0
rxn00668_c0,0.0
rxn08353_c0,0.0
rxn05655_c0,0.0
rxn08801_c0,0.0
rxn02161_c0,0.0
rxn02275_c0,0.0
rxn04928_c0,0.0
rxn00927_c0,0.0
rxn01545_c0,0.0
rxn09233_c0,0.0034977336565143527
